subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683306872
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-93,1683306872
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-95,1683306872
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-93,1683306932
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-97,1683306962
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-97,1683306962
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-96,1683306993
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683307023
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683307083
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-85,1683307234
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683307264
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683307294
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683307294
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-86,1683307324
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-98,1683307324
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683307355
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-86,1683307355
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683307385
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-90,1683307385
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-85,1683307415
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-97,1683307626
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683307717
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683307747
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C3,-99,1683307777
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-94,1683307777
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-88,1683307807
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683307837
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683307868
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-89,1683307868
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-86,1683307868
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-91,1683307898
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-85,1683307898
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683307898
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-89,1683307928
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-85,1683307928
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-98,1683307928
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-97,1683307928
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-96,1683307959
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-94,1683308080
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-83,1683308080
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683308110
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-84,1683308110
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-99,1683308110
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-91,1683308141
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683308141
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-91,1683308202
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683308352
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-95,1683308383
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-93,1683308383
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-91,1683308413
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683308413
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-92,1683308443
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-93,1683308443
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-90,1683308474
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:FA,-96,1683308474
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-95,1683308504
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-93,1683308565
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-90,1683308625
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683308686
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-87,1683308686
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-91,1683308716
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:AC,-97,1683308716
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-90,1683308747
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-88,1683308807
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-97,1683308837
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-93,1683308867
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-89,1683308897
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-91,1683308928
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-96,1683308928
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-91,1683308958
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-91,1683308988
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C8,-90,1683309018
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-95,1683309018
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-94,1683309048
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:C0,-96,1683309079
,6C:B2:FD:CE:31:0C,6C:B2:FD:CE:2D:F5,-93,1683309109
