subject,my_mac,their_mac,rssi,local_time
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-91,1683290959
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-93,1683290959
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A9,-98,1683290959
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-84,1683290989
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-87,1683290989
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-86,1683290989
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-91,1683291019
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683291019
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683291050
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-89,1683291050
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-86,1683291080
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-84,1683291080
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-79,1683291110
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-82,1683291140
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-97,1683291171
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683291171
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-97,1683291201
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-94,1683291201
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683291232
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683291262
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-95,1683291292
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683291322
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-80,1683291322
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683291353
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-80,1683291353
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-94,1683291383
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-77,1683291383
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-76,1683291413
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-72,1683291443
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683291474
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-94,1683291504
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-89,1683291504
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-95,1683291534
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-94,1683291534
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-89,1683291534
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-93,1683291534
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-91,1683291564
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-95,1683291564
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-96,1683291564
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-91,1683291564
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-95,1683291564
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-91,1683291594
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-95,1683291594
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-91,1683291594
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-94,1683291594
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683291625
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-99,1683291625
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-93,1683291625
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-90,1683291625
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:31:8,-93,1683291655
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C2,-93,1683291655
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:E7,-95,1683291655
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-94,1683291655
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-83,1683291655
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:E7,-95,1683291685
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A5,-96,1683291685
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683291685
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-88,1683291685
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-92,1683291685
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-96,1683291685
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-89,1683291685
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683291715
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-95,1683291715
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-87,1683291715
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-74,1683291715
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-90,1683291746
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-80,1683291746
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-92,1683291776
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-89,1683291776
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-93,1683291776
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-72,1683291776
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-90,1683291806
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-83,1683291806
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-99,1683291806
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-82,1683291806
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:FF,-98,1683291836
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-94,1683291836
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-96,1683291836
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-97,1683291836
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-88,1683291866
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-93,1683291866
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-80,1683291866
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:A7,-85,1683291896
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-97,1683291896
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-90,1683291896
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:9D,-98,1683291926
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-84,1683291926
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-95,1683291956
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:C8,-96,1683291987
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:BC,-90,1683291987
,6C:B2:FD:CE:2D:F5,6C:B2:FD:CE:2D:B2,-83,1683291987
