subject,my_mac,data_type,data_value,local_time
,6C:B2:FD:CE:31:0C,xl,0.00,1683319533
,6C:B2:FD:CE:31:0C,xl,0.00,1683319597
,6C:B2:FD:CE:31:0C,deg_c,29.50,1683319662
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683319662
,6C:B2:FD:CE:31:0C,xl,0.00,1683319674
,6C:B2:FD:CE:31:0C,xl,0.00,1683319744
,6C:B2:FD:CE:31:0C,xl,0.00,1683319804
,6C:B2:FD:CE:31:0C,xl,0.00,1683319890
,6C:B2:FD:CE:31:0C,deg_c,29.50,1683319962
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683319962
,6C:B2:FD:CE:31:0C,xl,0.00,1683319954
,6C:B2:FD:CE:31:0C,xl,0.00,1683320040
,6C:B2:FD:CE:31:0C,xl,0.00,1683320101
,6C:B2:FD:CE:31:0C,xl,0.00,1683320163
,6C:B2:FD:CE:31:0C,deg_c,30.00,1683320262
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683320262
,6C:B2:FD:CE:31:0C,xl,0.00,1683320233
,6C:B2:FD:CE:31:0C,xl,0.00,1683320295
,6C:B2:FD:CE:31:0C,xl,0.00,1683320359
,6C:B2:FD:CE:31:0C,xl,0.00,1683320422
,6C:B2:FD:CE:31:0C,xl,0.00,1683320484
,6C:B2:FD:CE:31:0C,deg_c,29.75,1683320562
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683320562
,6C:B2:FD:CE:31:0C,xl,0.00,1683320545
,6C:B2:FD:CE:31:0C,xl,0.00,1683320605
,6C:B2:FD:CE:31:0C,xl,0.00,1683320665
,6C:B2:FD:CE:31:0C,xl,0.00,1683320726
,6C:B2:FD:CE:31:0C,xl,0.00,1683320787
,6C:B2:FD:CE:31:0C,deg_c,30.00,1683320862
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683320862
,6C:B2:FD:CE:31:0C,xl,0.00,1683320848
,6C:B2:FD:CE:31:0C,xl,0.00,1683320908
,6C:B2:FD:CE:31:0C,xl,0.00,1683320970
,6C:B2:FD:CE:31:0C,xl,0.00,1683321039
,6C:B2:FD:CE:31:0C,xl,0.00,1683321100
,6C:B2:FD:CE:31:0C,deg_c,30.00,1683321162
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683321162
,6C:B2:FD:CE:31:0C,xl,0.00,1683321161
,6C:B2:FD:CE:31:0C,xl,0.00,1683321222
,6C:B2:FD:CE:31:0C,xl,0.00,1683321282
,6C:B2:FD:CE:31:0C,xl,0.00,1683321353
,6C:B2:FD:CE:31:0C,deg_c,35.00,1683321462
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683321462
,6C:B2:FD:CE:31:0C,xl,0.00,1683321415
,6C:B2:FD:CE:31:0C,xl,0.00,1683321475
,6C:B2:FD:CE:31:0C,xl,0.00,1683321536
,6C:B2:FD:CE:31:0C,xl,0.00,1683321599
,6C:B2:FD:CE:31:0C,xl,0.00,1683321659
,6C:B2:FD:CE:31:0C,deg_c,35.00,1683321762
,6C:B2:FD:CE:31:0C,vbatt,3.85,1683321762
,6C:B2:FD:CE:31:0C,xl,0.00,1683321719
,6C:B2:FD:CE:31:0C,xl,0.00,1683321817
,6C:B2:FD:CE:31:0C,xl,0.00,1683321878
,6C:B2:FD:CE:31:0C,xl,0.00,1683321967
,6C:B2:FD:CE:31:0C,deg_c,34.00,1683322062
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683322062
,6C:B2:FD:CE:31:0C,xl,0.00,1683322027
,6C:B2:FD:CE:31:0C,xl,0.00,1683322242
,6C:B2:FD:CE:31:0C,deg_c,32.75,1683322362
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683322362
,6C:B2:FD:CE:31:0C,xl,0.00,1683322370
,6C:B2:FD:CE:31:0C,xl,0.00,1683322491
,6C:B2:FD:CE:31:0C,xl,0.00,1683322558
,6C:B2:FD:CE:31:0C,deg_c,32.00,1683322662
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683322662
,6C:B2:FD:CE:31:0C,xl,0.00,1683322619
,6C:B2:FD:CE:31:0C,xl,0.00,1683322680
,6C:B2:FD:CE:31:0C,xl,0.00,1683322741
,6C:B2:FD:CE:31:0C,xl,0.00,1683322818
,6C:B2:FD:CE:31:0C,deg_c,33.00,1683322962
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683322962
,6C:B2:FD:CE:31:0C,xl,0.00,1683323126
,6C:B2:FD:CE:31:0C,xl,0.00,1683323189
,6C:B2:FD:CE:31:0C,deg_c,32.50,1683323262
,6C:B2:FD:CE:31:0C,vbatt,3.83,1683323262
,6C:B2:FD:CE:31:0C,xl,0.00,1683323253
,6C:B2:FD:CE:31:0C,xl,0.00,1683323394
,6C:B2:FD:CE:31:0C,deg_c,32.75,1683323562
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683323562
,6C:B2:FD:CE:31:0C,xl,0.00,1683323558
,6C:B2:FD:CE:31:0C,xl,0.00,1683323622
,6C:B2:FD:CE:31:0C,xl,0.00,1683323701
,6C:B2:FD:CE:31:0C,xl,0.00,1683323762
,6C:B2:FD:CE:31:0C,deg_c,32.75,1683323862
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683323862
,6C:B2:FD:CE:31:0C,xl,0.00,1683323824
,6C:B2:FD:CE:31:0C,xl,0.00,1683323918
,6C:B2:FD:CE:31:0C,xl,0.00,1683324053
,6C:B2:FD:CE:31:0C,deg_c,31.50,1683324162
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683324162
,6C:B2:FD:CE:31:0C,xl,0.00,1683324276
,6C:B2:FD:CE:31:0C,xl,0.00,1683324369
,6C:B2:FD:CE:31:0C,deg_c,31.25,1683324462
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683324462
,6C:B2:FD:CE:31:0C,xl,0.00,1683324625
,6C:B2:FD:CE:31:0C,deg_c,32.25,1683324762
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683324762
,6C:B2:FD:CE:31:0C,xl,0.00,1683324768
,6C:B2:FD:CE:31:0C,xl,0.00,1683324835
,6C:B2:FD:CE:31:0C,xl,0.00,1683324899
,6C:B2:FD:CE:31:0C,xl,0.00,1683324961
,6C:B2:FD:CE:31:0C,deg_c,31.75,1683325062
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683325062
,6C:B2:FD:CE:31:0C,xl,0.00,1683325027
,6C:B2:FD:CE:31:0C,xl,0.00,1683325111
,6C:B2:FD:CE:31:0C,xl,0.00,1683325266
,6C:B2:FD:CE:31:0C,deg_c,31.00,1683325362
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683325362
,6C:B2:FD:CE:31:0C,xl,0.00,1683325425
,6C:B2:FD:CE:31:0C,xl,0.00,1683325490
,6C:B2:FD:CE:31:0C,xl,0.00,1683325551
,6C:B2:FD:CE:31:0C,deg_c,31.25,1683325662
,6C:B2:FD:CE:31:0C,vbatt,3.84,1683325662
,6C:B2:FD:CE:31:0C,xl,0.00,1683325617
,6C:B2:FD:CE:31:0C,xl,0.00,1683325789
,6C:B2:FD:CE:31:0C,xl,0.00,1683325854
